PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Type,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,CREATE TABLE,N/A,intermediate_schema,int_player_national_performance,intermediate_schema.int_player_national_performance,70,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,76,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_national_performance,intermediate_schema.int_player_national_performance,78,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_performances.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_performance_overall_proc,intermediate_Schema.int_player_performance_overall_proc,CREATE TABLE,N/A,intermediate_schema,int_player_performance_overall,intermediate_schema.int_player_performance_overall,30,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_performances.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_performance_overall_proc,intermediate_Schema.int_player_performance_overall_proc,CREATE TABLE,N/A,raw_schema,player_performance,raw_schema.player_performance,52,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_performances.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_performance_overall_proc,intermediate_Schema.int_player_performance_overall_proc,CREATE TABLE,N/A,intermediate_schema,int_player_performance_overall,intermediate_schema.int_player_performance_overall,55,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_performances.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_performance_overall_proc,intermediate_Schema.int_player_performance_overall_proc,61,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_performances.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_performance_overall,intermediate_schema.int_player_performance_overall,95,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_profile.sql,CREATE PROCEDURE,N/A,intermediate_schema,int_player_profile_proc,intermediate_schema.int_player_profile_proc,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,45,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_profile.sql,CREATE PROCEDURE,N/A,intermediate_schema,int_player_profile_proc,intermediate_schema.int_player_profile_proc,CREATE TABLE,N/A,raw_schema,player_profile,raw_schema.player_profile,68,SELECT - FROM
