SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CreateDatabase' NODE,Create_Football_db.sql,1,0,N/A,N/A,N/A,"""Football_DB""","""Football_DB""",CREATE DATABASE,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CreateSchema' NODE,create_intermediate_schema.sql,1,0,N/A,N/A,N/A,intermediate_schema,intermediate_schema,CREATE SCHEMA,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_national_performance.sql,12,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_children_team.sql,10,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_injuries.sql,11,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""aws_s3.table_import_from_s3""",raw_schema_player_profile.sql,38,0,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_national_performance.sql,12,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_children_team.sql,10,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_injuries.sql,11,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'aws_s3.table_import_from_s3' NODE,raw_schema_player_profile.sql,38,7,N/A,N/A,N/A,N/A,N/A,SELECT,N/A,PostgreSQL
