PartitionKey,FileType,Category,CodeUnit,SourceDatabase,SourceSchema,CodeUnitName,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,transfer_history,raw_schema.transfer_history,raw_schema_transfer_history.sql,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_player_market_value.sql,28,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_player_market_value.sql,25,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_schema,int_player_market_value_proc,intermediate_schema.int_player_market_value_proc,int_player_market_value.sql,8,15,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_player_market_value,intermediate_schema.int_player_market_value,int_player_market_value.sql,1,5,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_children_team.sql,10,8,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,NotSupported,0%,1*,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,children_team,raw_schema.children_team,raw_schema_children_team.sql,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_player_national_performance.sql,78,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_player_national_performance.sql,76,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,int_schema_player_national_performance.sql,40,28,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
